date,county,cases,deaths,population-E,median_income-E,num_hh-E,num_hh_w_people_under18-E,num_hh_w_people_over60-E,pop_under18-E,enrolled_in_school-E,num_hh_morethan1_person_perroom-E,bedsMedicalSurgical,bedsIntensiveCare,bedsTotalCONAuthorizedBeds,Direct Admissions to Intensive Care,Transfers into  Intensive Care,Patient Days Direct Admissions to Intensive Care,Patient Days Transfers to Intensive Care,Intensive Care Peak Beds Set Up,location_samples,m50
2020-03-17,Adams,0,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1420,4.265
2020-03-18,Adams,0,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1412,3.824
2020-03-19,Adams,0,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1398,3.81
2020-03-20,Adams,1,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1292,3.999
2020-03-21,Adams,1,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1086,2.641
2020-03-22,Adams,1,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1233,0.117
2020-03-24,Adams,1,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1425,2.674
2020-03-25,Adams,1,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1427,3.542
2020-03-26,Adams,1,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1428,3.546
2020-03-27,Adams,1,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1438,3.618
2020-03-28,Adams,1,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1428,1.92
2020-03-29,Adams,2,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1440,1.541
2020-03-30,Adams,2,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1468,3.057
2020-03-31,Adams,2,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1467,3.101
2020-04-01,Adams,2,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1442,3.656
2020-04-02,Adams,2,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1438,3.36
2020-04-03,Adams,2,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1437,3.369
2020-04-04,Adams,3,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1373,1.964
2020-04-05,Adams,3,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1420,1.5
2020-04-06,Adams,8,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1422,2.599
2020-04-07,Adams,9,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1459,3.185
2020-04-08,Adams,11,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1476,2.87
2020-04-09,Adams,22,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1441,3.059
2020-04-10,Adams,24,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1378,3.37
2020-04-11,Adams,25,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,1377,2.387
2020-04-12,Adams,25,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,NA,NA
2020-04-13,Adams,26,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,NA,NA
2020-04-14,Adams,27,0,66427,51398,27300,7621,11336,15033,14931,285,158,25,307,1451,472,3812,1268,25,NA,NA
2020-03-17,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-04,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-05,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-06,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-07,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-08,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-09,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-10,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-11,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-12,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-13,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-14,Alexander,0,0,6532,34709,2323,557,1152,1581,1457,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,Bond,0,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,275,11.398
2020-03-18,Bond,0,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,286,9.373
2020-03-19,Bond,0,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,294,12.198
2020-03-20,Bond,0,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,264,13.343
2020-03-21,Bond,0,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,246,5.509
2020-03-22,Bond,0,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,265,1.803
2020-03-24,Bond,0,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,278,8.038
2020-03-25,Bond,0,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,286,6.176
2020-03-26,Bond,0,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,296,8.052
2020-03-27,Bond,0,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,291,7.355
2020-03-28,Bond,0,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,296,5.656
2020-03-29,Bond,1,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,287,2.178
2020-03-30,Bond,1,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,265,4.665
2020-03-31,Bond,2,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,299,6.262
2020-04-01,Bond,2,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,298,7.21
2020-04-02,Bond,3,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,300,7.47
2020-04-03,Bond,3,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,308,9.446
2020-04-04,Bond,3,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,266,3.064
2020-04-05,Bond,3,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,282,2.002
2020-04-06,Bond,3,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,268,4.035
2020-04-07,Bond,3,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,281,7.803
2020-04-08,Bond,3,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,295,10.125
2020-04-09,Bond,4,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,278,7.681
2020-04-10,Bond,4,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,271,8.769
2020-04-11,Bond,4,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,273,7.274
2020-04-12,Bond,4,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,NA,NA
2020-04-13,Bond,4,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,NA,NA
2020-04-14,Bond,4,0,16712,58097,6218,1711,2813,3205,4225,208,26,0,42,0,0,0,0,0,NA,NA
2020-03-17,Boone,0,0,53606,66898,18731,7320,7244,13707,14568,609,34,0,34,0,0,0,0,0,891,7.94
2020-03-18,Boone,0,0,53606,66898,18731,7320,7244,13707,14568,609,34,0,34,0,0,0,0,0,900,3.642
2020-03-19,Boone,0,0,53606,66898,18731,7320,7244,13707,14568,609,34,0,34,0,0,0,0,0,878,5.284
2020-03-20,Boone,0,0,53606,66898,18731,7320,7244,13707,14568,609,34,0,34,0,0,0,0,0,840,8.633
2020-03-21,Boone,0,0,53606,66898,18731,7320,7244,13707,14568,609,34,0,34,0,0,0,0,0,735,1.298
2020-03-22,Boone,0,0,53606,66898,18731,7320,7244,13707,14568,609,34,0,34,0,0,0,0,0,840,0.036
