GEOID,NAME,population-E,population-M,median_income-E,median_income-M,num_hh-E,num_hh-M,num_hh_w_people_under18-E,num_hh_w_people_under18-M,num_hh_w_people_over60-E,num_hh_w_people_over60-M,num_owneroccupants_morethan1_per_roomE,num_owneroccupants_morethan1_per_roomM,num_owneroccupants_morethan15_per_roomE,num_owneroccupants_morethan15_per_roomM,num_owneroccupants_morethan2_per_roomE,num_owneroccupants_morethan2_per_roomM,num_renteroccupants_morethan1_per_roomE,num_renteroccupants_morethan1_per_roomM,num_renteroccupants_morethan15_per_roomE,num_renteroccupants_morethan15_per_roomM,num_renteroccupants_morethan2_per_roomE,num_renteroccupants_morethan2_per_roomM,pop_under18-E,pop_under18-M,enrolled_in_school-E,enrolled_in_school-M
17083,"Jersey County, Illinois",22069,NA,56747,3388,8665,236,2549,221,3831,182,38,37,8,12,0,20,29,23,0,20,8,13,4631,NA,5509,259
17155,"Putnam County, Illinois",5746,NA,65034,4231,2395,115,612,73,1163,65,8,8,0,15,11,15,13,10,0,15,0,15,1139,13,1190,57
17039,"De Witt County, Illinois",16042,NA,55591,4243,6663,206,2018,150,2775,118,46,28,0,17,0,17,52,54,0,17,0,17,3498,28,3500,152
17051,"Fayette County, Illinois",21724,NA,44432,2826,7616,225,2262,179,3451,134,13,14,13,14,0,20,26,24,37,41,39,31,4522,116,4803,180
17103,"Lee County, Illinois",34527,NA,57901,2678,13699,320,3806,219,5851,213,105,53,3,5,0,23,27,21,32,43,8,12,6867,13,7281,300
17107,"Logan County, Illinois",29207,NA,57899,2733,10872,234,3097,174,4657,171,35,25,0,20,8,13,22,24,3,5,0,20,5640,NA,6810,221
17117,"Macoupin County, Illinois",45719,NA,53778,2295,18772,320,5505,248,8259,213,134,73,14,17,0,23,70,46,4,6,0,23,9793,NA,10946,289
17159,"Richland County, Illinois",15881,NA,48724,3352,6482,194,1781,200,2807,137,8,10,0,17,0,17,10,11,0,17,10,16,3612,37,3504,175
17165,"Saline County, Illinois",24231,NA,41167,2422,10002,269,3110,204,4422,183,58,40,18,16,0,20,93,66,25,34,0,20,5269,36,5091,188
17189,"Washington County, Illinois",14155,NA,59469,3085,5975,134,1620,130,2398,105,58,33,11,14,0,17,20,18,31,35,0,17,3059,50,3035,125
17135,"Montgomery County, Illinois",29009,NA,50304,2160,11339,399,2742,242,5212,224,45,31,1,2,14,15,50,50,22,23,38,38,5757,28,6028,195
17195,"Whiteside County, Illinois",56396,NA,53828,2296,23346,325,6371,313,10394,284,67,46,20,23,9,17,67,53,70,73,0,26,12610,NA,12249,396
17001,"Adams County, Illinois",66427,NA,51398,1583,27300,354,7621,325,11336,281,97,52,55,40,20,27,66,66,47,59,0,26,15033,10,14931,389
17027,"Clinton County, Illinois",37628,NA,65010,3226,14190,300,4298,260,5731,185,69,33,2,3,3,4,32,27,71,56,34,52,7992,8,8346,289
17037,"DeKalb County, Illinois",104200,NA,61086,1996,37703,554,11620,478,11546,321,189,90,0,26,0,26,359,130,125,77,2,4,22593,13,35794,866
17047,"Edwards County, Illinois",6507,NA,49766,2324,2776,82,821,79,1194,62,32,23,5,7,0,15,0,15,0,15,0,15,1515,39,1361,111
17079,"Jasper County, Illinois",9598,NA,54951,3464,3656,185,1062,123,1586,99,40,42,0,15,0,15,15,22,0,15,0,15,2207,NA,2047,111
17081,"Jefferson County, Illinois",38169,NA,47617,2804,15223,199,4458,258,6306,153,141,58,11,9,12,11,41,25,0,23,6,9,8446,NA,8318,296
17197,"Will County, Illinois",688697,NA,83504,820,227848,1185,89521,1191,80072,1016,1982,254,225,81,78,47,1484,258,201,83,78,49,177161,34,191472,1545
17199,"Williamson County, Illinois",67299,NA,49053,2034,27089,478,7750,432,11357,278,65,35,5,7,0,26,107,66,80,69,23,35,14744,46,14797,392
